Reporting Date,Deal Name,Deal ID,Rate,% SCYLLA Impressions,Impressions,Gross Revenue,eCPM,Bid Requests,Valid Bid Responses,Bid Responses,Response Rate,Win Rate (Client),Avg Bid CPM,AVG% above Floor price needed to win Bid (CPM)
3/10/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"112,008",$787.23 ,$7.03 ,"363,173,900","315,349","316,870",0.09%,35.52%,$7.04 ,100.57%
3/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"454,488","$2,865.73 ",$6.31 ,"992,034,700","1,791,095","1,805,011",0.18%,25.37%,$6.31 ,100.32%
3/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,392,420,900",0,0,0.00%,0.00%,$0.00 ,0.00%
3/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"141,608",$993.34 ,$7.01 ,"344,089,600","529,346","531,692",0.15%,26.75%,$7.02 ,100.29%
3/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"552,309","$10,823.95 ",$19.60 ,"642,615,000","1,785,056","1,785,789",0.28%,30.94%,$19.71 ,115.94%
3/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_CTV_Sports,KRG-81ro-44474,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"59,133,900",0,0,0.00%,0.00%,$0.00 ,0.00%
3/11/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"177,147","$1,292.80 ",$7.30 ,"992,034,700","533,540","535,349",0.05%,33.20%,$7.30 ,100.14%
3/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"548,851","$10,765.32 ",$19.61 ,"626,343,300","1,659,340","1,666,924",0.26%,33.08%,$19.73 ,116.06%
3/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"146,401","$1,026.87 ",$7.01 ,"335,830,300","479,455","480,464",0.14%,30.53%,$7.01 ,100.14%
3/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"387,577","$2,443.90 ",$6.31 ,"981,465,900","1,532,971","1,546,175",0.16%,25.28%,$6.31 ,100.32%
3/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"228,393","$1,667.33 ",$7.30 ,"981,465,900","666,502","670,666",0.07%,34.27%,$7.30 ,100.14%
